zh-TC
Conversation ID,Entry ID,Actor,Original Text,Translated Text [zh-TC],Original Menu,Translated Menu [zh-TC],Description
4,0,Player,,,,,
4,1,Father,I have to go to company and handle some urgent work now.  But your mum said she feels a bit sick. Can you help take care of her?\r,,,,
4,2,Player,No problem! I will stay at home and take care of mum.\r,,,,
4,4,Father,Thank you for your help,,,,
5,0,Player,,,,,
5,1,Teacher,"Ok, everyone, let us stop here. You can take a break now!",,,,
5,2,Player,Thank you Miss!,,,,
9,0,Player,,,,,
9,1,Social Worker,"Hello, we would like to raise money for poor children, could you help us donate some money?",,,,
9,2,Player,I would love to help! Let me check how much can I give you.,,,,
9,3,Player,"I dont have enough money, sorry I can't donate this time.",,,,
11,0,Player,,,,,
11,8,Social Worker,Thanks so much for your helping.,,,,
11,9,Social Worker,Thanks for your helping.,,,,
11,11,Player,My pleasure.,,,,
11,12,Player,My pleasure.,,,,
11,13,Social Worker,Excellent! Thanks so much for your helping.,,,,
11,14,Player,My pleasure.,,,,
12,0,Player,,,,,
12,1,Social Worker,It's very kind of you! Appreciate it!,,,,
12,3,Social Worker,Thank you all the same.,,,,
17,0,BlindPeople,,,,,
17,1,BlindPeople,"Aiya..Who put the debris in the middle of the road, can you help me move these debris to the right place, I want to cross the road",,,,
17,2,Player,Let me help you!,,,,
17,3,Player,I am sorry I am still in a hurry. I can't help.,,,,
17,4,BlindPeople,That would be great!,,,,
18,0,Player,,,,,
18,1,BlindPeople,Thank you...I need to go across the street? Would you like to help me?,,,,
18,2,Player,With Pleasure! Let me help you.,,,,
18,3,Player,I am afraid I can't. Sorry!,,,,
21,0,Player,,,,,
21,1,BlindPeople,Thank you...You are so kind.,,,,
21,2,Player,Happy to help!,,,,
10,0,Player,,,,,
10,1,Beggar,"I am hungry, can you give me some money for food? Any coins will be appreciate.",,,,
10,8,Player,"I don't have enough money,sorry I can't donate this time.",,,,
10,9,Player,I would love to help! Let me check how much can I give you.,,,,
13,0,Player,,,,,
13,1,Beggar,Thank you so much! -10,,,,
13,2,Beggar,Thank you so much. -2,,,,
13,3,Beggar,Thank you so much. -1,,,,
13,4,Player,My pleasure.,,,,
13,5,Player,My pleasure.,,,,
13,6,Player,My pleasure.,,,,
15,0,Player,,,,,
15,1,Beggar,Thank you...I don't need to worry about being hungry today.,,,,
15,3,WaterGirl,Thank you all the same.,,,,
14,0,Player,,,,,
14,1,Dog,[Woof..Woof],,,,
14,2,Player,"Oh, what a lovely dog. Where is your owner?",,,,
16,0,Player,,,,,
16,1,DogOwner,"I cannot find my dog, it’s a white little dog. Have you seen it?",,,,
16,2,Player,"Yes, I have.",,,,
16,3,DogOwner,That's great! Would you mind taking me to find him? Thanks!,,,,
16,4,Player,No problem! Please follow me.,,,,
16,5,Player,I am afraid I can't. I am in a hurry.,,,,
19,0,Player,,,,,
19,1,DogOwner,Please show me the way. Thanks!,,,,
20,0,Player,,,,,
20,1,DogOwner,Thank you so much! This is my dog!,,,,
20,2,Player,You are welcome!,,,,
22,0,Player,,,,,
22,1,ToiletKid,Excuse me. May I ask where the toilet is,,,,
22,2,Player,"No problem! The toilet is not far from here, I can take you there.",,,,
22,3,Player,Sorry. I'm in a hurry.,,,,
22,4,Player,"Sorry, I don't know where it is.",,,,
22,5,ToiletKid,That's great! Thank you so much for your help.,,,,
22,6,ToiletKid,It's okay. Thank you.,,,,
22,7,ToiletKid,It's okay.,,,,
23,0,Player,,,,,
23,1,ToyKid,"I really want to play it but my mom didn't buy for me, can you lend me to play for a while.",,,,
23,2,Player,"No problem! There is not much water left, I can give it to you.",,,,
23,4,Player,Sorry. I still want to play.,,,,
23,5,ToyKid,It's okay.,,,,
23,7,ToyKid,Great! Thank you so much. You are so nice.,,,,
23,8,ToyKid,That's a wonderful experience!,,,,
23,9,Player,I am happy you like it.,,,,
23,10,ToyKid,"What a nice day, isn't it?",,,,
23,11,Player,Enjoy your day!,,,,
24,0,Player,,,,,
24,1,Helper,Can someone help to bring an AED? It's near the toilet.,,,,
24,2,Player,Let me help to bring it!,,,,
24,3,Player,"Sorry, I may not able to find it.",,,,
24,4,Player,Let me wait for others to help.,,,,
24,5,Helper,It's okay. Thank you.,,,,
24,6,Helper,It's okay.,,,,
24,7,Helper,Any troubles?  You should be able to find the AED near the toilet.,,,,
24,8,Helper,"Thank you anyway, I will try to ask someone else for help.",,,,
24,9,Player,No problem! ,,,,
24,10,Helper,Thank you so much for your help!,,,,
24,11,Helper,Excellent! Thanks for your helping.,,,,
24,12,Player,Glad to help!,,,,
25,0,Player,,,,,
25,1,BallonGirl,"My ballon flies up to the tree, I can't reach it. Can you help me to take it down?",,,,
25,2,Player,No problem! Let me get a ladder first.,,,,
25,3,Player,"Sorry, I may not able to reach it.",,,,
25,4,Player,Sorry. I'm in a hurry.,,,,
25,5,BallonGirl,It's okay. Thank you.,,,,
25,6,BallonGirl,It's okay.,,,,
25,7,BallonGirl,Thank you!,,,,
25,8,BallonGirl,Thank you so much for help me get the balloon!,,,,
25,9,BallonGirl,"Thank you anyway, I will try to get the balloon by myself.",,,,
25,10,BallonGirl,Look! There are some Legos under the tree. Maybe you can grab one Lego to help you get the balloon!,,,,
25,11,Player,You are clever. Let me have a try!,,,,
25,12,Player,You are welcome!,,,,
25,13,Player,That's ok!,,,,
26,0,Player,,,,,
26,1,DustCollector,"Hi, do you want to help collect dust with us?",,,,
26,2,Player,"Sure, no problem!",,,,
26,3,ToiletKid,,,,,
26,4,ToiletKid,,,,,
26,5,ToiletKid,,,,,
26,6,DustCollector,Try to pick up the dust as more as you can. Then find me when you finish.,,,,
27,0,Player,,,,,
27,1,ToiletKid,Please show me the way. Thanks!,,,,
28,0,Player,,,,,
28,1,ToiletKid,Thank you so much! ,,,,
29,0,Player,,,,,
29,1,BallonGirl,Thank you for your help first! You can find a ladder first then help me get the ballon.,,,,
30,0,Player,,,,,
30,1,BallonGirl,That's great! Thank you so much for your help.,,,,
31,0,Player,,,,,
31,1,BallonGirl,Thank you for helping me getting the balloon!,,,,
32,0,Player,,,,,
32,1,LiftPerson,Can you please help me keep me hold the door of the lift? I am walking too slow.,,,,
32,2,Player,"Sure! No hurry, I will hold the door for you. ",,,,
32,4,Player,I don't want to help you.,,,,
32,5,ToiletKid,Thank you... You are so kind!,,,,
32,6,Player,No problem!,,,,
33,0,Player,,,,,
33,1,Customer,"Hi, would you please help me put these masks back?",,,,
33,2,Player,"Sure, I would love to.",,,,
33,3,Player,"Sorry, I am in a hurry. I can't help you.",,,,
33,4,ToiletKid,Have you helped me put all the masks back?,,,,
33,5,Player,"Yes, I think there is no mask left.",,,,
33,6,Player,"Oh, not yet! I will hit you back when I am done.",,,,
33,7,ToiletKid,Brilliant! Thank you.,,,,
