zh-Oral
Name,Display Name,Translated Display Name [zh-Oral],Group,Translated Group [zh-Oral],Description,Translated Description [zh-Oral],Success Description,Translated Success Description [zh-Oral],Failure Description,Translated Failure Description [zh-Oral],Entry 1,Translated Entry [1],Entry 2,Translated Entry [2]
Get the Balloon,,,,,,,,,,,Agree to help to get the balloon,,Disagree to help get the balloon.,
ToyBubble,,,,,,,,,,,Agree to exit,,Disagree to exit,
BringAED,,,,,,,,,,,,,,
CollectDust,,,,,,,,,,,,,,
HoldLift,,,,,,,,,,,,,,
Collect Mask,,,,,,,,,,,,,,
WatsonGreeting,,,,,,,,,,,,,,
WatsonCheckOut,,,,,,,,,,,,,,
1_1_CleanTheDirt,,,,,,,,,,,,,,
1_2_Sandwich,,,,,,,,,,,,,,
1_3_WashPlate,,,,,,,,,,,,,,
1.4_GrandmaGlasses,,,,,,,,,,,,,,
1.5_Sister,,,,,,,,,,,,,,
2.1_TeacherDropItem,,,,,,,,,,,,,,
2.2_WaterPour,,,,,,,,,,,,,,
2.3_FindPen,Find a pen,,,,,,,,,,,,,
2.4_ComfortClassmate,,,,,,,,,,,,,,
2.5_Organize,,,,,,,,,,,,,,
3_1_CharityDonate,,,,,,,,,,,,,,
3_5_FruitPickUp,,,,,,,,,,,,,,
3_4_Beggar,,,,,,,,,,,,,,
